,,,Command area,,0.8,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
105,Skl_F_Mahendratanaya_N,Filter Points,0,,,,0,,,,0,,,0.7,0,,40,90,0,,120,240,0,,120,240,,,,,,,,,,,,
106,Skl_F_Peddagedda_Gsigadam,DW,0,,,,0,,,,0,,,,274.48232,5357,75,120,336,1024,120,240,0,,120,240,,,,,,,,,,,,
107,Skl_F_Peddagedda_Gsigadam,DW+PS/DCB,0,,,,0,,,,0,,,,411.62744,1397,75,120,1680,28,120,240,0,,120,240,,,,,,,,,,,,
108,Skl_F_Peddagedda_Gsigadam,BWs,0,,,,0,,,,0,,,,1646.31768,,75,120,2016,,120,240,6720,4,120,240,,,,,,,,,,,,
109,Skl_F_Peddagedda_Gsigadam,STW,0,,,,0,,,,0,,,,1646.31768,4957,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
110,Skl_F_Peddagedda_Gsigadam,MTW,0,,,,0,,,,0,,,,1646.31768,54,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
111,Skl_F_Peddagedda_Gsigadam,Deep TW,0,,,,0,,,,0,,,,0,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
112,Skl_F_Peddagedda_Gsigadam,Filter Points,0,,,,0,,,,0,,,,1646.31768,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
113,Skl_F_Vamsadhara_Mahendratanaya_W_Meliaputti,DW,0,,,,0,,,,0,,,,2159.92,1033,70,110,480,523,120,240,0,,120,240,,,,,,,,,,,,
114,Skl_F_Vamsadhara_Mahendratanaya_W_Meliaputti,DW+PS/DCB,0,,,,0,,,,0,,,,2400.16,136,70,110,2400,36,120,240,0,,120,240,,,,,,,,,,,,
115,Skl_F_Vamsadhara_Mahendratanaya_W_Meliaputti,BWs,0,,,,0,,,,0,,,,5600,238,70,110,5760,,120,245,0,,120,240,,,,,,,,,,,,
116,Skl_F_Vamsadhara_Mahendratanaya_W_Meliaputti,STW,0,,,,0,,,,0,,,,5600,,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
117,Skl_F_Vamsadhara_Mahendratanaya_W_Meliaputti,MTW,0,,,,0,,,,0,,,,0,,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
118,Skl_F_Vamsadhara_Mahendratanaya_W_Meliaputti,Deep TW,0,,,,0,,,,0,,,,0,,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
119,Skl_F_Vamsadhara_Mahendratanaya_W_Meliaputti,Filter Points,0,,,,0,,,,0,,,,5600,346,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
120,Skl_F_Vamsadhara_Vamsadhara_W1_Bhamini,DW,0,,,,0,,,,0,,,,2159.92,159,70,110,480,559,120,240,2000,,120,240,,,,,,,,,,,,
121,Skl_F_Vamsadhara_Vamsadhara_W1_Bhamini,DW+PS/DCB,0,,,,0,,,,0,,,,3199.84,28,70,110,2400,9,120,240,4000,,120,240,,,,,,,,,,,,
122,Skl_F_Vamsadhara_Vamsadhara_W1_Bhamini,BWs,0,,,,0,,,,0,,,,5600,9,70,110,2880,,120,240,4000,,120,240,,,,,,,,,,,,
123,Skl_F_Vamsadhara_Vamsadhara_W1_Bhamini,STW,0,,,,0,,,,0,,,,5600,0,70,110,2880,,120,240,4000,,120,240,,,,,,,,,,,,
