S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,,
72,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,BALAGA (RURAL),,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190190116,019,BALAGA (RURAL)
73,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,PATRUVANIVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190220117,022,PATRUVANIVALASA
74,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,PEDDAPADU,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190230118,023,PEDDAPADU
75,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SANIVADA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190240119,024,SANIVADA
76,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VOPPANGI,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190250120,025,VOPPANGI
77,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,ARASAVILLI(RURAL),,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190260121,026,ARASAVILLI(RURAL)
78,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,PATHASRIKAKULAM(RURAL),,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190270122,027,PATHASRIKAKULAM(RURAL)
79,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,IPPILI,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190290124,029,IPPILI
80,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KALLEPALLE,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190300127,030,KALLEPALLE
81,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,MOFASBANDAR,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,19,SRIKAKULAM,01016190310127,031,MOFASBANDAR
