,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
209,06-D-51-18,Kri-D-51-Kanchikacherla ,Chevitikallu,3,1,0,0,,,4,,,
210,06-D-51-18,Kri-D-51-Kanchikacherla ,Kunikanapadu,2,1,0,0,,,3,,,
211,06-D-51-18,Kri-D-51-Kanchikacherla ,Ghani Atkur,6,1,0,0,,,7,,,
212,06-D-51-18,Kri-D-51-Kanchikacherla ,Damuluru,15,3,0,0,,,18,,,
213,06-D-51-18,Kri-D-51-Kanchikacherla ,Chilukuru,8,1,0,0,,,9,,,
214,06-D-51-18,Kri-D-51-Kanchikacherla ,Ketanakonda,23,2,0,0,,,25,,,
215,06-D-51-18,Kri-D-51-Kanchikacherla ,Kachavaram,21,4,0,0,,,25,,,
216,06-D-51-18,Kri-D-51-Kanchikacherla ,Kotikalapudi,9,2,0,0,,,11,,,
217,06-D-51-18,Kri-D-51-Kanchikacherla ,Mulapadu,46,4,0,0,,,50,,,
218,06-D-51-18,Kri-D-51-Kanchikacherla ,Jupudi,25,2,0,0,,,27,,,
219,06-D-51-18,Kri-D-51-Kanchikacherla ,Ibrahimpatnam,52,3,0,0,,,55,,,
220,06-D-51-18,Kri-D-51-Kanchikacherla ,Z.N.Pothavaram,0,0,0,0,,,0,,,
221,06-D-51-18,Kri-D-51-Kanchikacherla ,Trilochanapuram,6,1,0,0,,,7,,,
222,06-D-51-18,Kri-D-51-Kanchikacherla ,Jamimachavaram,0,2,0,0,,,2,,,
223,06-D-51-18,Kri-D-51-Kanchikacherla ,Navepothavaram,0,0,0,0,,,0,,,
224,06-I-40-12,Kri-I-40-Chatrai,Somavaram,40,3,0,0,,,43,,,
225,06-I-40-12,Kri-I-40-Chatrai,Kothagudem,11,4,0,0,,,15,,,
226,06-I-40-12,Kri-I-40-Chatrai,Tummagudem,36,10,0,0,,,46,,,
227,06-I-40-12,Kri-I-40-Chatrai,Chittapur,38,6,0,0,,,44,,,
228,06-I-40-12,Kri-I-40-Chatrai,Arugolanupeta,19,5,0,0,,,24,,,
229,06-I-40-12,Kri-I-40-Chatrai,Janardhanavaram,19,3,0,0,,,22,,,
230,06-I-40-12,Kri-I-40-Chatrai,Chatrai,44,5,0,0,,,49,,,
231,06-I-40-12,Kri-I-40-Chatrai,Polavaram,26,8,0,0,,,34,,,
232,06-I-40-12,Kri-I-40-Chatrai,Buruggudem,0,0,18,4,,,22,,,
233,06-I-40-12,Kri-I-40-Chatrai,Parvathapuram,0,0,15,4,,,19,,,
234,06-I-40-12,Kri-I-40-Chatrai,Chinnampeta,0,0,28,10,,,38,,,
235,06-I-40-12,Kri-I-40-Chatrai,Kotapadu,0,0,41,8,,,49,,,
236,06-I-40-12,Kri-I-40-Chatrai,Mankollu,11,1,0,0,,,12,,,
237,06-I-40-12,Kri-I-40-Chatrai,Pothanapalli,20,7,0,0,,,27,,,
238,06-I-40-12,Kri-I-40-Chatrai,Kondaparva,0,0,44,6,,,50,,,
239,06-I-41-14,Kri-I-41-Nuzvid,Vattigudipadu,17,9,0,0,,1,27,,,
240,06-I-41-14,Kri-I-41-Nuzvid,Kothapalli,,,15,3,,,18,,,
241,06-I-41-14,Kri-I-41-Nuzvid,Billanapalli,,,10,4,,,14,,,
242,06-I-41-14,Kri-I-41-Nuzvid,Koyyuru,,,9,2,,,11,,,
243,06-I-41-14,Kri-I-41-Nuzvid,Bommuluru,,,7,3,,,10,,,
244,06-I-41-14,Kri-I-41-Nuzvid,B.Kandrika,,,2,2,,,4,,,
245,06-I-41-14,Kri-I-41-Nuzvid,Korlagunta,,,7,5,,,12,,,
246,06-I-41-14,Kri-I-41-Nuzvid,Nuzvid,120,5,,,,5,130,,,
247,06-I-41-14,Kri-I-41-Nuzvid,Digavalli,,,28,7,,,35,,,
248,06-I-41-14,Kri-I-41-Nuzvid,Mukkullapadu,,,37,6,,,43,,,
249,06-I-41-14,Kri-I-41-Nuzvid,Annavaram,,,35,5,26,0,66,,,
