,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP",
153,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Navara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
154,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pawara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
155,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jaggammagaripeta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
156,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Madhavapatnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
157,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Samalkota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
158,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vetlapalem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
159,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pandravada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
160,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kapavaram",4,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
161,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","D.Pinjarikonda",0,0,0,0,0,0,0,4,0,9,0,0,0,0,,,,,,,,
162,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kottampalem",0,0,0,0,0,0,0,6,0,14,0,0,0,0,,,,,,,,
163,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jayachintalapadu",0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,,
164,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Badadam",0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,,,,,
165,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Matlapadu",0,0,0,0,0,0,0,0,0,8,0,0,0,0,,,,,,,,
166,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Uppalapadu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
