S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,,,,,,,,,,,,
78,04_E_32_26-003,EG-G-Zk-Rangampet,G.Medapadu,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,25,Samalkota,04043250020102,2,G.Medapadu
79,04_E_32_26-003,EG-G-Zk-Rangampet,Surampalem,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,27,Gandepalli,04042270030103,013,Surampalem
80,04_E_32_26-003,EG-G-Zk-Rangampet,Valutimmapuram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,20,Peddapuram,04043200180118,18,Valutimmapuram
81,04_E_32_26-003,EG-G-Zk-Rangampet,Anuru,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,20,Peddapuram,04042200200119,20,Anuru
82,04_E_32_26-003,EG-G-Zk-Rangampet,Rayabhupalapatnam,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,20,Peddapuram,04043200210121,21,Rayabhupalapatnam
83,04_E_32_26-003,EG-G-Zk-Rangampet,Chinabrahmadevaram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,20,Peddapuram,04043200220122,22,Chinabrahmadevaram
84,04_E_32_26-003,EG-G-Zk-Rangampet,Rameswaram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,20,Peddapuram,04043200190100,19,Rameswaram
85,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Rajupalem,2935,0.6,0.5,45,1.5182337649,0.0044560161,15,120,0,8.02082898,0,8.02082898,,Between Mahanadi and Godavari,Yeleru West,Yeleru,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,04,East Godavari,19,Kirlampudi,04042190140116,14,Rajupalem
86,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Veeravaram,1400,0.85,2.5,45,3.9424978336,0.005519497,15,120,0,9.9350945407,0,9.9350945407,,Between Mahanadi and Godavari,Yeleru West,Yeleru,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,04,East Godavari,19,Kirlampudi,04042190130115,13,Veeravaram
87,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mukkollu,7500,0.9,1.2,45,2.7273506474,0.0204551299,15,120,0,36.8192337394,0,36.8192337394,,Between Mahanadi and Godavari,Yeleru West,Yeleru,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,04,East Godavari,19,Kirlampudi,04042190170119,17,Mukkollu
