"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
251,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Bobbilanka",,,,,,
252,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Penikalapudi",,,1,3,,
253,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Dirisenapalli",,,1,3,,
254,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Narasapuram",,,1,2,,
255,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","K.Yerrampalem",,,,,,
256,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Foulkspeta",,,2,5,,
257,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Devarathigudem",,,2,6,,
258,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Kannavaram",,,2,5,,
259,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","M.Burugubanda",,,1,4,,
260,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Forest",,,,,,
261,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Lododdi",,,1,3,,
262,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Pudedu",,,,,,
263,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Kesavaram",,,,,,
264,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Pakalti",,,1,3,,
265,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Forest",,,,,,
266,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Satyavaram",,,,,,
267,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Kotturu",,,,,,
268,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Dabbadi",,,1,4,,
269,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Raghavapatnam",,,1,6,,
270,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Ginnelaram",,,1,4,,
271,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Jaldam",,,,,,
272,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Pedduru",,,1,5,,
273,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","D.Pidapala",,,,,,
274,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","S.Pidipala",,,,,,
275,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Balaramapuram",,,3,20,,
276,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","B.B.Patnam",,,3,18,,
277,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Gummaregula",,,,,,
278,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Lachireddipalem",,,4,16,,
279,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Uppampalem",,,2,6,,
280,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Sarlanka",,,1,4,,
281,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Challeru",,,1,4,,
